ID,userName,email,phone,company_ID,department_ID,designation_ID,active,lastLogin,createdAt,createdBy,modifiedAt,modifiedBy
880e8400-e29b-41d4-a716-446655440001,user01,user01@company01.com,900000001,550e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,770e8400-e29b-41d4-a716-446655440001,true,2024-01-10T09:00:00Z,2024-01-01T08:00:00Z,system,2024-01-05T08:00:00Z,system
880e8400-e29b-41d4-a716-446655440002,user02,user02@company02.com,900000002,550e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440002,770e8400-e29b-41d4-a716-446655440002,true,2024-01-10T09:01:00Z,2024-01-01T08:01:00Z,system,2024-01-05T08:01:00Z,system
880e8400-e29b-41d4-a716-446655440003,user03,user03@company03.com,900000003,550e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440003,770e8400-e29b-41d4-a716-446655440003,true,2024-01-10T09:02:00Z,2024-01-01T08:02:00Z,system,2024-01-05T08:02:00Z,system
880e8400-e29b-41d4-a716-446655440004,user04,user04@company04.com,900000004,550e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440004,770e8400-e29b-41d4-a716-446655440004,true,2024-01-10T09:03:00Z,2024-01-01T08:03:00Z,system,2024-01-05T08:03:00Z,system
880e8400-e29b-41d4-a716-446655440005,user05,user05@company05.com,900000005,550e8400-e29b-41d4-a716-446655440005,660e8400-e29b-41d4-a716-446655440005,770e8400-e29b-41d4-a716-446655440005,true,2024-01-10T09:04:00Z,2024-01-01T08:04:00Z,system,2024-01-05T08:04:00Z,system
880e8400-e29b-41d4-a716-446655440006,user06,user06@company06.com,900000006,550e8400-e29b-41d4-a716-446655440006,660e8400-e29b-41d4-a716-446655440006,770e8400-e29b-41d4-a716-446655440006,true,2024-01-10T09:05:00Z,2024-01-01T08:05:00Z,system,2024-01-05T08:05:00Z,system
880e8400-e29b-41d4-a716-446655440007,user07,user07@company07.com,900000007,550e8400-e29b-41d4-a716-446655440007,660e8400-e29b-41d4-a716-446655440007,770e8400-e29b-41d4-a716-446655440007,true,2024-01-10T09:06:00Z,2024-01-01T08:06:00Z,system,2024-01-05T08:06:00Z,system
880e8400-e29b-41d4-a716-446655440008,user08,user08@company08.com,900000008,550e8400-e29b-41d4-a716-446655440008,660e8400-e29b-41d4-a716-446655440008,770e8400-e29b-41d4-a716-446655440008,true,2024-01-10T09:07:00Z,2024-01-01T08:07:00Z,system,2024-01-05T08:07:00Z,system
880e8400-e29b-41d4-a716-446655440009,user09,user09@company09.com,900000009,550e8400-e29b-41d4-a716-446655440009,660e8400-e29b-41d4-a716-446655440009,770e8400-e29b-41d4-a716-446655440009,true,2024-01-10T09:08:00Z,2024-01-01T08:08:00Z,system,2024-01-05T08:08:00Z,system
880e8400-e29b-41d4-a716-446655440010,user10,user10@company10.com,900000010,550e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440010,770e8400-e29b-41d4-a716-446655440010,true,2024-01-10T09:09:00Z,2024-01-01T08:09:00Z,system,2024-01-05T08:09:00Z,system
880e8400-e29b-41d4-a716-446655440011,user11,user11@company11.com,900000011,550e8400-e29b-41d4-a716-446655440011,660e8400-e29b-41d4-a716-446655440011,770e8400-e29b-41d4-a716-446655440011,true,2024-01-10T09:10:00Z,2024-01-01T08:10:00Z,system,2024-01-05T08:10:00Z,system
880e8400-e29b-41d4-a716-446655440012,user12,user12@company12.com,900000012,550e8400-e29b-41d4-a716-446655440012,660e8400-e29b-41d4-a716-446655440012,770e8400-e29b-41d4-a716-446655440012,true,2024-01-10T09:11:00Z,2024-01-01T08:11:00Z,system,2024-01-05T08:11:00Z,system
880e8400-e29b-41d4-a716-446655440013,user13,user13@company13.com,900000013,550e8400-e29b-41d4-a716-446655440013,660e8400-e29b-41d4-a716-446655440013,770e8400-e29b-41d4-a716-446655440013,true,2024-01-10T09:12:00Z,2024-01-01T08:12:00Z,system,2024-01-05T08:12:00Z,system
880e8400-e29b-41d4-a716-446655440014,user14,user14@company14.com,900000014,550e8400-e29b-41d4-a716-446655440014,660e8400-e29b-41d4-a716-446655440014,770e8400-e29b-41d4-a716-446655440014,true,2024-01-10T09:13:00Z,2024-01-01T08:13:00Z,system,2024-01-05T08:13:00Z,system
880e8400-e29b-41d4-a716-446655440015,user15,user15@company15.com,900000015,550e8400-e29b-41d4-a716-446655440015,660e8400-e29b-41d4-a716-446655440015,770e8400-e29b-41d4-a716-446655440015,true,2024-01-10T09:14:00Z,2024-01-01T08:14:00Z,system,2024-01-05T08:14:00Z,system
880e8400-e29b-41d4-a716-446655440016,user16,user16@company16.com,900000016,550e8400-e29b-41d4-a716-446655440016,660e8400-e29b-41d4-a716-446655440016,770e8400-e29b-41d4-a716-446655440016,true,2024-01-10T09:15:00Z,2024-01-01T08:15:00Z,system,2024-01-05T08:15:00Z,system
